player,attack angle,body direction,bat direction,hand speed,hinge angle,bat speed,velocity vector2,velocity vector,vertical bat angle,body rotation rate,bat rotation rate,x_knob,y_knob,z_knob,x_barrel,y_barrel,z_barrel
Player 1,-0.85162854,-1.6526407,4.1353617,0.57555586,-0.91190183,0.35001418,"[0.10478341, 0.20800374, -0.26599672]","[-0.39336407, 0.25835255, -0.33133546]",0.8040481,0.96459377,-0.12218093,0.63497597,-0.8074497,0.7279768,0.6219718,-0.4376069,1.1121157
Player 1,-0.867562,-1.6506823,4.133602,0.5881889,-0.9121004,0.34466088,"[0.12269315, 0.19052374, -0.2672837]","[-0.40015727, 0.25617903, -0.34671688]",0.8044807,0.99821633,-0.08849042,0.63419,-0.8069398,0.72730345,0.6222314,-0.437228,1.1116024
Player 1,-0.884681,-1.6486524,4.131721,0.60279906,-0.9122492,0.34257063,"[0.13786492, 0.17469324, -0.27178046]","[-0.4075684, 0.25454763, -0.36395085]",0.80498254,1.0339245,-0.05641956,0.63338923,-0.8064334,0.7265971,0.62252134,-0.4368809,1.1110817
Player 1,-0.8982636,-1.6465479,4.1297107,0.6183041,-0.9123433,0.3409925,"[0.15414986, 0.15730393, -0.27655265]","[-0.41476592, 0.2527633, -0.38259625]",0.80556,1.0704392,-0.01715723,0.63257414,-0.80593073,0.7258553,0.6228439,-0.4365687,1.1105533
Player 1,-0.90013486,-1.6443692,4.127542,0.6334529,-0.91235316,0.33707726,"[0.17475998, 0.13435256, -0.27786016]","[-0.42109337, 0.24989031, -0.4018679]",0.8062354,1.1071754,0.03394993,0.6317466,-0.80543417,0.72507685,0.6232078,-0.43630263,1.1100243
Player 1,-0.88010615,-1.6421189,4.125176,0.64765114,-0.9122376,0.33108968,"[0.20109917, 0.10380204, -0.273817]","[-0.42628887, 0.24544297, -0.4212927]",0.8070389,1.1449499,0.09344106,0.6309089,-0.80494666,0.72426146,0.6236247,-0.43609777,1.1095055
Player 1,-0.83952427,-1.6397951,4.122592,0.66226524,-0.91197765,0.32747334,"[0.22996621, 0.06897848, -0.26759425]","[-0.43121538, 0.240255, -0.44150433]",0.8079871,1.1854297,0.15282293,0.63006175,-0.8044699,0.7234074,0.6240997,-0.43596277,1.109001
Player 1,-0.7997791,-1.6373882,4.119804,0.6798375,-0.9115958,0.32835236,"[0.2548218, 0.03599184, -0.26486152]","[-0.43761808, 0.23588952, -0.46370855]",0.80907226,1.2300742,0.20461497,0.6292025,-0.80400234,0.7225105,0.62462497,-0.43589407,1.1085039
Player 1,-0.7750464,-1.6348858,4.116836,0.70148426,-0.9111306,0.33235383,"[0.2735747, 0.00766164, -0.26807368]","[-0.44622514, 0.23316467, -0.48846442]",0.8102763,1.2792808,0.24767722,0.628327,-0.8035409,0.7215657,0.62518877,-0.43588257,1.1080021
Player 1,-0.75759727,-1.6322783,4.113699,0.72633946,-0.91060066,0.33990854,"[0.29087085, -0.01761506, -0.27563548]","[-0.4561057, 0.2318527, -0.5155394]",0.8115887,1.332012,0.28956503,0.627433,-0.80308294,0.7205685,0.6257883,-0.43592238,1.1074871
Player 1,-0.7342966,-1.629561,4.110377,0.7530677,-0.9099962,0.35202742,"[0.31173572, -0.04361611, -0.28414014]","[-0.46617875, 0.23120391, -0.54436487]",0.8130144,1.3865982,0.341992,0.6265202,-0.8026273,0.7195157,0.62643087,-0.4360151,1.1069573
Player 1,-0.69397146,-1.6267321,4.1068316,0.7803815,-0.9092793,0.36867636,"[0.33894306, -0.07559302, -0.28894103]","[-0.47593558, 0.23009521, -0.574053]",0.814579,1.4424707,0.4111055,0.6255893,-0.8021751,0.71840584,0.6271294,-0.43617278,1.1064206
Player 1,-0.6322195,-1.623793,4.103008,0.80757654,-0.90839463,0.39170632,"[0.373836, -0.11715579, -0.28697464]","[-0.4852948, 0.22776338, -0.60398066]",0.81632173,1.500974,0.49240744,0.62464166,-0.80172884,0.7172387,0.62789947,-0.43641454,1.1058908
Player 1,-0.5650567,-1.6207385,4.0988703,0.83620036,-0.90731186,0.4218651,"[0.41262668, -0.1647935, -0.28170428]","[-0.49539557, 0.22512278, -0.63492835]",0.81826746,1.5645337,0.5745214,0.623676,-0.80128926,0.7160122,0.6287493,-0.43675262,1.1053743
Player 1,-0.5171004,-1.6175531,4.0944304,0.869296,-0.90605694,0.45298302,"[0.44687587, -0.21008942, -0.2808313]","[-0.5083589, 0.22420809, -0.6685638]",0.82040817,1.6353538,0.64627224,0.6226867,-0.8008529,0.7147206,0.6296699,-0.43718234,1.1048623
Player 1,-0.49465236,-1.6142159,4.0897193,0.9081873,-0.9046831,0.47941837,"[0.47288656, -0.2487017, -0.28818908]","[-0.5251106, 0.2260144, -0.7056774]",0.8227191,1.7145644,0.70261157,0.62166625,-0.80041426,0.7133569,0.63064504,-0.43769035,1.1043382
Player 1,-0.48731872,-1.6107101,4.084755,0.9519299,-0.90322447,0.503042,"[0.49456447, -0.28277656, -0.30191123]","[-0.5448738, 0.23002715, -0.7459026]",0.8251832,1.8017594,0.7479251,0.620609,-0.799969,0.7119151,0.63166606,-0.4382675,1.1037892
Player 1,-0.48551387,-1.607022,4.0795336,0.9996449,-0.90169096,0.5268499,"[0.51561624, -0.31584468, -0.3190443]","[-0.56705296, 0.23559728, -0.7888186]",0.827798,1.8951598,0.7950501,0.6195103,-0.7995143,0.71039003,0.6327322,-0.438912,1.103209
